Index,Year,Month,Rain,Region
SUS,2022,7,0.2,UK
SUS,2022,8,34.4,UK
SUS,2022,9,106.6,UK
SUS,2022,10,64.9,UK
SUS,2022,11,206.7,UK
SUS,2022,12,124.9,UK
SUS,2023,1,100.6,UK
SUS,2023,2,4.7,UK
SUS,2023,3,107.5,UK
SUS,2023,4,53.4,UK
SUS,2023,5,13.8,UK
SUS,2023,6,30.8,UK
SUS,2023,7,59.8,UK
SUS,2023,8,83.2,UK
SUS,2023,9,34.1,UK
SUS,2023,10,218,UK
SUS,2023,11,174.2,UK
SUS,2023,12,114.1,UK
SUS,2024,1,76.8,UK
SUS,2024,2,187.3,UK
SUS,2024,3,86.7,UK
SUS,2024,4,72.8,UK
SUS,2024,5,76.3,UK
SUS,2024,6,10.9,UK
SUS,2024,7,67.3,UK
SUS,2024,8,59.2,UK
SUS,2024,9,166.9,UK
SUS,2024,10,107.8,UK
SUS,2024,11,68.3,UK
SUS,2024,12,59.9,UK
LOW,2021,1,89.9,UK
LOW,2021,2,39.4,UK
LOW,2021,3,30.8,UK
LOW,2021,4,6.5,UK
LOW,2021,5,57.8,UK
LOW,2021,6,88.5,UK
LOW,2021,7,33.9,UK
LOW,2021,8,24.6,UK
LOW,2021,9,22.6,UK
LOW,2021,10,74.1,UK
LOW,2021,11,40.8,UK
LOW,2021,12,77.1,UK
LOW,2022,1,23.1,UK
LOW,2022,2,57.9,UK
LOW,2022,3,19.9,UK
LOW,2022,4,5,UK
LOW,2022,5,25.1,UK
LOW,2022,6,39.3,UK
LOW,2022,7,7.5,UK
LOW,2022,8,1.2,UK
LOW,2022,9,52,UK
LOW,2022,10,43.2,UK
LOW,2022,11,116.7,UK
LOW,2022,12,54.2,UK
LOW,2023,1,39.5,UK
LOW,2023,2,4.8,UK
LOW,2023,3,65.8,UK
LOW,2023,4,48.8,UK
LOW,2023,5,46.1,UK
LOW,2023,6,18.5,UK
LOW,2023,7,132.1,UK
LOW,2023,8,51,UK
LOW,2023,9,46.3,UK
LOW,2023,10,104.3,UK
LOW,2023,11,79.6,UK
LOW,2023,12,61.8,UK
BRI,2022,1,19.2,UK
BRI,2022,2,41,UK
BRI,2022,3,43.8,UK
BRI,2022,4,27,UK
BRI,2022,5,112,UK
BRI,2022,6,80,UK
BRI,2022,7,0.2,UK
BRI,2022,8,4.1,UK
BRI,2022,9,68.4,UK
BRI,2022,10,107.8,UK
BRI,2022,11,239.2,UK
BRI,2022,12,95.6,UK
BRI,2023,1,106,UK
BRI,2023,2,5.6,UK
BRI,2023,3,94.4,UK
BRI,2023,4,103.6,UK
BRI,2023,5,39.6,UK
BRI,2023,6,26.4,UK
BRI,2023,7,140.4,UK
BRI,2023,8,167.2,UK
BRI,2023,9,32.4,UK
BRI,2023,10,121,UK
BRI,2023,11,190.4,UK
BRI,2023,12,158,UK
BRI,2024,1,88,UK
BRI,2024,2,79.6,UK
BRI,2024,3,48,UK
BRI,2024,4,98.8,UK
BRI,2024,5,76.2,UK
BRI,2024,6,28.6,UK
BRI,2024,7,67.2,UK
BRI,2024,8,16.8,UK
BRI,2024,9,98.8,UK
BRI,2024,10,100,UK
SOM,2022,1,78.3,UK
SOM,2022,2,99.5,UK
SOM,2022,3,142.4,UK
SOM,2022,4,30.4,UK
SOM,2022,5,122.8,UK
SOM,2022,6,116.4,UK
SOM,2022,7,23.2,UK
SOM,2022,8,102.3,UK
SOM,2022,9,140.8,UK
SOM,2022,10,193.3,UK
SOM,2022,11,335,UK
SOM,2022,12,271.1,UK
SOM,2023,1,274.3,UK
SOM,2023,2,29,UK
SOM,2023,3,147.9,UK
SOM,2023,4,404.7,UK
SOM,2023,5,191,UK
SOM,2023,6,37.6,UK
SOM,2023,7,287.4,UK
SOM,2023,8,272.2,UK
SOM,2023,9,182.2,UK
SOM,2023,10,163,UK
SOM,2023,11,348.8,UK
SOM,2023,12,303,UK
SOM,2024,1,154.7,UK
SOM,2024,2,262.1,UK
SOM,2024,3,110.1,UK
SOM,2024,4,250.6,UK
SOM,2024,5,80.2,UK
SOM,2024,6,69.8,UK
SOM,2024,7,0,UK
SOM,2024,8,45.2,UK
SOM,2024,9,0,UK
SOM,2024,10,297,UK
HAN,2022,1,44.8,UK
HAN,2022,2,102.4,UK
HAN,2022,3,119.1,UK
HAN,2022,4,31.5,UK
HAN,2022,5,68,UK
HAN,2022,6,68.9,UK
HAN,2022,7,1.4,UK
HAN,2022,8,59.7,UK
HAN,2022,9,117.4,UK
HAN,2022,10,305.4,UK
HAN,2022,11,325.2,UK
HAN,2022,12,374.8,UK
HAN,2023,1,304.7,UK
HAN,2023,2,255.8,UK
HAN,2023,3,292,UK
HAN,2023,4,250.2,UK
HAN,2023,5,40.6,UK
HAN,2023,6,82,UK
HAN,2023,7,116.4,UK
HAN,2023,8,180,UK
HAN,2023,9,184.3,UK
HAN,2023,10,501.8,UK
HAN,2023,11,250.2,UK
HAN,2023,12,137.3,UK
HAN,2024,1,248.2,UK
HAN,2024,2,194.6,UK
HAN,2024,3,161.6,UK
HAN,2024,4,137.9,UK
HAN,2024,5,55.8,UK
HAN,2024,6,98.4,UK
HAN,2024,7,129.1,UK
HAN,2024,8,77.3,UK
HAN,2024,9,95.5,UK
HAN,2024,10,53.5,UK
FLE,2023,1,226.4,UK
FLE,2023,2,18.8,UK
FLE,2023,3,188.2,UK
FLE,2023,4,165.8,UK
FLE,2023,5,126,UK
FLE,2023,6,73.2,UK
FLE,2023,7,204.4,UK
FLE,2023,8,117.6,UK
FLE,2023,9,130.1,UK
FLE,2023,10,247.8,UK
FLE,2023,11,312.2,UK
FLE,2023,12,295.6,UK
FLE,2024,1,141,UK
FLE,2024,2,350.4,UK
FLE,2024,3,289.6,UK
FLE,2024,4,103,UK
FLE,2024,5,229,UK
FLE,2024,6,18.2,UK
FLE,2024,7,173.4,UK
FLE,2024,8,97.2,UK
FLE,2024,9,302.6,UK
FLE,2024,10,216,UK
FLE,2024,11,210.2,UK
FLE,2024,12,107.4,UK
FLE,2025,1,258.4,UK
FLE,2025,2,126,UK
FLE,2025,3,11.4,UK
FLE,2025,4,61.6,UK
FLE,2025,5,59.2,UK
FLE,2025,6,122.6,UK
FLE,2025,7,30.2,UK
FLE,2025,8,41.1,UK
FLE,2025,9,71,UK
FLE,2025,10,68.6,UK
NCO,2022,4,8.9,UK
NCO,2022,5,58,UK
NCO,2022,6,37.3,UK
NCO,2022,7,0.3,UK
NCO,2023,1,47.3,UK
NCO,2023,2,0,UK
NCO,2023,4,59.9,UK
NCO,2023,5,71.2,UK
NCO,2023,6,70.8,UK
NCO,2023,7,177.7,UK
NCO,2023,8,98.6,UK
NCO,2023,9,175.9,UK
NCO,2023,10,277.5,UK
NCO,2023,11,227.8,UK
NCO,2023,12,207.7,UK
NCO,2024,1,253.5,UK
NCO,2024,2,216.3,UK
NCO,2024,3,107.9,UK
NCO,2024,4,228.7,UK
NCO,2024,5,116.3,UK
NCO,2024,6,127.9,UK
NCO,2024,7,199.3,UK
NCO,2024,8,39.8,UK
NCO,2024,9,116.1,UK
NCO,2024,10,173.6,UK
NCO,2024,11,156.5,UK
NCO,2024,12,247.7,UK
SHE,2022,1,30.2,UK
SHE,2022,2,28.7,UK
SHE,2022,3,56.3,UK
SHE,2022,4,19.4,UK
SHE,2022,5,93.2,UK
SHE,2022,6,83.2,UK
SHE,2022,7,9.9,UK
SHE,2022,8,37.6,UK
SHE,2022,9,57.4,UK
SHE,2022,10,70.2,UK
SHE,2022,11,283.2,UK
SHE,2022,12,78.8,UK
SHE,2023,1,107.8,UK
SHE,2023,2,8.4,UK
SHE,2023,3,139.2,UK
SHE,2023,4,169.1,UK
SHE,2023,5,25,UK
SHE,2023,6,58,UK
SHE,2023,7,98.8,UK
SHE,2023,8,75.4,UK
SHE,2023,9,103.8,UK
SHE,2023,10,79.6,UK
SHE,2023,11,150.2,UK
SHE,2023,12,102.1,UK
SHE,2024,1,73.1,UK
SHE,2024,2,69.4,UK
SHE,2024,3,55.5,UK
SHE,2024,4,108.5,UK
SHE,2024,5,114,UK
SHE,2024,6,31.2,UK
SHE,2024,7,107.2,UK
SHE,2024,8,19.6,UK
SHE,2024,9,105,UK
SHE,2024,10,127.8,UK
SWF,2022,1,25.2,UK
SWF,2022,2,48.4,UK
SWF,2022,3,47.2,UK
SWF,2022,4,17.2,UK
SWF,2022,5,106.8,UK
SWF,2022,6,64.6,UK
SWF,2022,7,3.2,UK
SWF,2022,8,14.8,UK
SWF,2022,9,72,UK
SWF,2022,10,100.8,UK
SWF,2022,11,286,UK
SWF,2022,12,98.7,UK
SWF,2023,1,141.8,UK
SWF,2023,2,3.6,UK
SWF,2023,3,163.6,UK
SWF,2023,4,127.8,UK
SWF,2023,5,47,UK
SWF,2023,6,34.2,UK
SWF,2023,7,132.9,UK
SWF,2023,8,90,UK
SWF,2023,9,40.8,UK
SWF,2023,10,101,UK
SWF,2023,11,206.7,UK
SWF,2023,12,158.8,UK
SWF,2024,1,96.8,UK
SWF,2024,2,96.2,UK
SWF,2024,3,68.6,UK
SWF,2024,4,95,UK
SWF,2024,5,53.6,UK
SWF,2024,6,28.7,UK
SWF,2024,7,49.4,UK
SWF,2024,8,34.4,UK
SWF,2024,9,132.6,UK
SWF,2024,10,140.8,UK
TOL,2022,1,24.6,UK
TOL,2022,2,75.4,UK
TOL,2022,3,49.1,UK
TOL,2022,4,20.7,UK
TOL,2022,5,112.1,UK
TOL,2022,6,71.7,UK
TOL,2022,7,0,UK
TOL,2022,8,55.6,UK
TOL,2022,9,56.4,UK
TOL,2022,10,142.7,UK
TOL,2022,11,204.4,UK
TOL,2022,12,104.8,UK
TOL,2023,1,119.8,UK
TOL,2023,2,4.8,UK
TOL,2023,3,212.4,UK
TOL,2023,4,116.5,UK
TOL,2023,5,67.6,UK
TOL,2023,6,57.4,UK
TOL,2023,7,147.4,UK
TOL,2023,8,143.4,UK
TOL,2023,9,50.8,UK
TOL,2023,10,141.5,UK
TOL,2023,11,192.4,UK
TOL,2023,12,182.2,UK
TOL,2024,1,97.2,UK
TOL,2024,2,93.8,UK
TOL,2024,3,55.4,UK
TOL,2024,4,107.8,UK
TOL,2024,5,69.4,UK
TOL,2024,6,35.1,UK
TOL,2024,7,83.4,UK
TOL,2024,8,21,UK
TOL,2024,9,148.4,UK
TOL,2024,10,140.4,UK
